Temperature_C,Pressure_P,Message Number
25.39,97677.59,289
25.39,97676.44,290
25.39,97677.33,291
25.39,97676.77,292
25.37,97677.55,293
25.37,97676.41,294
25.37,97676.19,295
25.37,97675.58,296
25.38,97677.3,297
25.38,97677.38,298
25.39,97677.75,299
25.38,97676.55,300
25.39,97677.63,301
25.39,97677.8,302
25.4,97678.3,303
25.39,97677.17,304
25.4,97678.61,305
25.4,97677.02,306
25.38,97675.4,307
25.38,97677.14,308
25.37,97676.38,309
25.4,97674.67,310
25.48,97663.86,311
25.51,97665.44,312
25.51,97665.31,313
25.52,97666.27,314
25.52,97666.02,315
25.53,97667.36,316
25.54,97667.5,317
25.55,97667.95,318
25.56,97669.81,319
25.57,97668.54,320
25.58,97668.38,321
25.59,97669.2,322
25.6,97668.66,323
25.6,97667.63,324
25.62,97668.98,325
25.62,97669.77,326
25.63,97670.89,327
25.64,97669.86,328
25.65,97668.66,329
25.66,97669.45,330
25.67,97668.45,331
25.67,97668.83,332
25.68,97670.41,333
25.69,97670.06,334
25.69,97668.28,335
25.7,97667.25,336
25.7,97667.63,337
25.71,97668.05,338
25.71,97667.63,339
25.72,97667.38,340
25.72,97668.13,341
25.73,97666.77,342
25.73,97666.34,343
25.74,97665.56,344
25.74,97667.64,345
25.75,97666.85,346
25.76,97667.18,347
25.75,97665.98,348
25.76,97666.36,349
25.76,97666.01,350
25.76,97665.02,351
25.77,97666.05,352
25.77,97666.6,353
25.78,97667.18,354
25.78,97664.74,355
25.78,97665.9,356
25.78,97666.47,357
25.79,97664.86,358
25.79,97666.92,359
25.79,97665.77,360
25.79,97666.81,361
25.8,97665.69,362
25.8,97665.39,363
25.8,97665.8,364
25.81,97666.48,365
25.81,97666.18,366
25.81,97665.9,367
25.81,97664.59,368
25.81,97664.78,369
25.82,97665.36,370
25.82,97664.7,371
25.82,97664.58,372
25.83,97666.3,373
25.83,97666.36,374
25.83,97665.14,375
25.83,97664.14,376
25.84,97666.31,377
25.84,97666.64,378
25.84,97665.2,379
25.84,97665.73,380
25.85,97665.98,381
25.85,97666.02,382
25.85,97666.39,383
25.85,97666.44,384
25.85,97666.11,385
25.86,97665.64,386
25.86,97665.19,387
25.86,97665.88,388
25.86,97665.03,389
25.86,97665.19,390
25.87,97666.47,391
25.87,97667.29,392
25.87,97668.28,393
25.87,97668.12,394
25.88,97668.7,395
25.88,97669.75,396
25.88,97668.95,397
25.88,97671.31,398
25.88,97670.48,399
25.89,97670.56,400
25.89,97673.25,401
25.89,97672.3,402
25.9,97672.55,403
25.9,97672.05,404
25.9,97671.88,405
25.9,97670.69,406
25.9,97671.72,407
25.9,97672.09,408
25.9,97672.92,409
25.91,97672.8,410
25.91,97672.67,411
25.91,97672.39,412
25.91,97673.17,413
25.91,97671.96,414
25.92,97674.15,415
25.92,97672.33,416
25.91,97672.62,417
25.92,97672.66,418
25.92,97671.02,419
25.92,97673.41,420
25.92,97671.92,421
25.92,97671.27,422
25.92,97672.16,423
